name,review_count,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,restaurant_main_type,star,neighborhood
Ai Fiori,3794,4.63794,4.6,4.6,4.6,4.1,$31 to $50,1,2,4,17,76,Other Europe,1.0,Chelsea and Clinton
Aureole,3346,4.53346,4.4,4.4,4.4,3.9,$31 to $50,1,3,9,25,62,American,1.0,Chelsea and Clinton
Batard,913,4.6913,4.7,4.5,4.4,4.2,$50 and over,0,2,4,20,74,Other Europe,1.0,Greenwich Village and Soho
Cafe Boulud,5194,4.65194,4.5,4.5,4.5,4.0,$50 and over,1,2,7,16,74,French,1.0,Upper East Side
Gotham Bar and Grill,8591,4.785909999999999,4.7,4.6,4.6,4.2,$50 and over,1,1,4,15,79,Contemporary American,1.0,Lower East Side
Junoon,2027,4.52027,4.5,4.4,4.5,3.8,$50 and over,2,2,11,19,66,Indian,1.0,Gramercy Park and Murray Hill
Nix,1130,4.7113,4.7,4.4,4.5,4.1,$31 to $50,0,1,5,18,76,Other,1.0,Lower East Side
Rouge Tomate Chelsea,190,4.519,4.4,4.4,4.4,3.9,$31 to $50,2,3,9,23,63,Contemporary American,1.0,Chelsea and Clinton
The Clocktower,1019,4.510190000000001,4.4,4.3,4.5,3.8,$50 and over,1,2,8,22,67,Other Europe,1.0,Gramercy Park and Murray Hill
The Musket Room,768,4.8768,4.7,4.7,4.6,4.2,$31 to $50,0,1,3,15,81,Other,1.0,Greenwich Village and Soho
.Tarallucci e Vino Union Square,582,4.4582,4.4,4.2,4.2,4.0,$31 to $50,2,3,8,23,64,Italian,0.0,Lower East Side
.Tarallucci e Vino Upper West Side,50,4.55,4.3,4.4,4.3,4.0,$31 to $50,0,5,4,30,61,Italian,0.0,Upper West Side
1 Darbar,516,4.4516,4.4,4.2,3.9,4.2,$30 and under,0,4,8,33,55,Indian,0.0,Gramercy Park and Murray Hill
2 Darbar Grill,316,4.5316,4.6,4.5,4.1,4.3,$30 and under,0,5,5,24,66,Indian,0.0,Gramercy Park and Murray Hill
21 Club,3262,4.73262,4.6,4.7,4.7,4.1,$50 and over,0,2,4,15,79,American,0.0,Chelsea and Clinton
ABC Cocina,2171,4.72171,4.6,4.3,4.6,4.0,$30 and under,1,2,4,17,76,Other,0.0,Lower East Side
ABC Kitchen,6031,4.76031,4.6,4.4,4.6,4.1,$31 to $50,1,2,5,15,77,Contemporary American,0.0,Lower East Side
Almond,2137,4.62137,4.4,4.2,4.4,4.1,$31 to $50,1,2,6,19,72,Other,0.0,Gramercy Park and Murray Hill
