neighborhood,postal_code
Central Harlem,10026
Central Harlem,10027
Central Harlem,10030
Central Harlem,10037
Central Harlem,10039
Chelsea and Clinton,10001
Chelsea and Clinton,10011
Chelsea and Clinton,10018
Chelsea and Clinton,10019
Chelsea and Clinton,10020
Chelsea and Clinton,10036
East Harlem,10029
East Harlem,10035
Gramercy Park and Murray Hill,10010
Gramercy Park and Murray Hill,10016
Gramercy Park and Murray Hill,10017
Gramercy Park and Murray Hill,10022
Greenwich Village and Soho,10012
Greenwich Village and Soho,10013
Greenwich Village and Soho,10014
Lower Manhattan,10004
Lower Manhattan,10005
Lower Manhattan,10006
Lower Manhattan,10007
Lower Manhattan,10038
Lower Manhattan,10280
Lower East Side,10002
Lower East Side,10003
Lower East Side,10009
Upper East Side,10021
Upper East Side,10028
Upper East Side,10044
Upper East Side,10065
Upper East Side,10075
Upper East Side,10128
Upper West Side,10023
Upper West Side,10024
Upper West Side,10025
Inwood and Washington Heights,10031
Inwood and Washington Heights,10032
Inwood and Washington Heights,10033
Inwood and Washington Heights,10034
Inwood and Washington Heights,10040
